,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Science,$1L - $2L (Employer Est.),"Company Overview: Pueo is known for bringing the best talent and unique tools to every opportunity. Pueo's Parliament (aka workforce) is composed of professionals who are seeking the opportunity to work in a small business with a flat organization that thrives on career development and independence. In support of mission and professional growth, our Parliament has supported the development of multiple patents, proprietary tools, and applications as well as trademarked processes.

Role: Pueo Business Solutions is looking for a Data Science SME to support a DoD customer in Quantico. As part of the Pueo team you will be responsible for the data building data models to support decision making.

Qualifications:",4.9,"Pueo Business Solutions
4.9","Quantico, VA",51 to 200 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
1,Data Science Analyst,$75T - $1L (Employer Est.),"Claritas Rx is a digital health venture that brings clarity to the challenges of specialty biopharmaceutical products in the marketplace. In today’s highly complex specialty networks, our mission is to illuminate the patient experience beyond the clinical trial. Claritas Rx leverages a proprietary technology platform and deep manufacturer expertise to automate and integrate channel, commercial, and clinical data and help biopharmaceutical companies generate actionable business insights. Our work uncovers the real-world variables impacting patient access, duration of therapy, and other metrics key to commercial success, making a real impact on patient healthcare.
The Position
Claritas Rx has a nimble Silicon Valley start-up culture. We are looking to build a strong team of domain experts that can help scale a premier channel management solution.

At Claritas Rx, Data Scientists work with our Customer Success and product teams to design, build, and deploy advanced analytics models to support our product and customers’ business needs. Data Scientists also support Customer Success in analytics consulting engagements and develop custom features. Claritas Data Scientists perform a range of activities that include data analytics, model building, presentation and delivery of results. Our Data Scientists are active advisors to both our customers and our product team: they are data curious, enjoy analytical problem solving, are learning-oriented and enjoy coaching and collaborating with other team members to solve a variety of business problems. The ideal candidate for this position is a self-starter, intellectually curious, result-oriented and thrives in a fast-paced entrepreneurial environment.",4.9,"Claritas Rx Inc.
4.9","South San Francisco, CA",51 to 200 Employees,2011,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
2,Data Scientist,Easy Apply,"Anika Systems is looking for a passionate and talented Data Scientist to join our expanding Federal team. We are a fast-growing woman-owned small business providing innovative IT solutions for federal government agencies. This opportunity will be 100% remote.
Responsibilities:

Involved in the analysis of unstructured and semi-structured data, including latent semantic indexing (LSI), entity identification and tagging, complex event processing (CEP), and the application of analysis algorithms on distributed, clustered, and cloud-based high-performance infrastructures.

Exercises creativity in applying non-traditional approaches to large-scale analysis of unstructured data in support of high-value use cases visualized through multi-dimensional interfaces. Handle processing and index requests against high-volume collections of data and high-velocity data streams.",4.5,"Anika Systems
4.5",Remote,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
3,Lead Data Scientist,Easy Apply,"Senior/Lead Data Scientist
FinchAI is a fast-growing, fast-paced software development organization; our mission is to build new ways of interacting with information. We do that by leveraging game-changing intellectual property and a staff that is second to none. Together, we build and support products that address complex, real-time data and analytics needs in the enterprise.
Responsibilities:
Design, develop and evaluate machine learning models suitable for text analytics tasks such as extraction, disambiguation and classification
Contribute to the design of solutions that fit the business problem, may include custom algorithm development
Develop new features for existing products, implement proof of concept and prototypes
Work closely with product development teams and product stakeholders following an Agile product development methodology",3.3,"Finch Computing
3.3",Remote,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
4,Junior Data Scientist,$80T - $90T (Employer Est.),"As a Junior Data Scientist, you will help support the Senior Data Scientist in analysis and research, and machine learning modeling that is underpinning new and current products. Additionally, the Junior Data Scientist will support the Data Engineer in building new data pipelines including new ETL functions.
Essential Duties/Responsibilities

Data Analysis
Data Research
Partner with Sr. Data Scientist to build pipelines for new functions
Resolve issues
Troubleshooting",3.5,"SoundThinking, Inc.
3.5","Fremont, CA",201 to 500 Employees,1996,Company - Public,Software Development,Information Technology,$25 to $50 million (USD)
5,Data Engineer,$75T - $1L (Glassdoor Est.),"Job Description: Data Engineer
Location: Remote with teams based in Philadelphia/Montreal/Dublin
At MRP, we are a recognised market leader in Account Based Marketing. MRP is seeking a highly skilled and innovative Data Engineer to join our Prelytix team. As a Data Engineer, you will collaborate closely with our data science team to design, build, and maintain our data infrastructure. Your role will involve developing and optimizing data pipelines, ensuring the accuracy, accessibility, and timeliness of our data. Additionally, you will contribute to designing and implementing data models that align with our business requirements.
Responsibilities:
Lead the design, build, and maintenance of efficient data pipelines and infrastructure in collaboration with the data science team.",3.4,"Market Resource Partners
3.4","Philadelphia, PA",501 to 1000 Employees,2002,Company - Public,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
6,Data Scientist,$92T - $1L (Glassdoor Est.),"As a Data Scientist, you solve complex challenges and identify new opportunities using a combination of analytical expertise, business acumen, strategic thinking, and project and relationship management skills.
RESPONSIBILITIES:
Integrate and mine large data sets, connecting data from disparate sources to identify insights and patterns using predictive and prescriptive analytics, and machine learning techniques
Conduct intermediate and advanced statistical analysis, such as linear regression, ANOVA, time-series analysis, classification models, neural networks, decision trees, as well as analysis of unstructured data (e.g., social media listening, digital footprints, speech analytics)
Conduct research and prototyping innovations; data and requirements gathering; solution scoping and architecture; consulting clients and client facing teams on advanced statistical and machine learning problems",4.1,"Fractal Analytics
4.1","Mountain View, CA",1001 to 5000 Employees,2000,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
7,Data Science Engineer,"3+ years of industry experience in a Data Science or similar role Bachelor’s degree in an engineering related field, or equivalent experience.…","Summary
Posted: Apr 18, 2023
Role Number:200475573
Apple’s Technology Development Group is looking for a highly motivated Data Science Engineer to help extract insights from sophisticated data sets to maintain high quality software builds. You will provide a key function in shaping the success of Apple’s current and future products, and help deliver exciting new software features while maintaining Apple’s world class quality.
Key Qualifications
Strong analytical skills",4.2,"Apple
4.2","Cupertino, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
8,Data Scientist,$28.63 - $53.00 Per hour (Employer Est.),"Request ID: 10741-1
Start/End Dates: 7/10/2023 - 1/9/2024
Tax Work Location: Melbourne - 1901 Grumman Place (A458)
Job Title: Scientific - Data Scientist 2
Job Description: Creates data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets. Analysis may have many applications such as to address a business issue or provide a competitive advantage for the organization. Requires strong statistical and data visualization skills.
Please ensure submitted candidates have used Tableau
Collaborate with engineering teams to develop an understanding of needs
Research and devise innovative statistical models for data analysis",4.6,"COMTEC INFORMATION SYSTEMS
4.6",Remote,501 to 1000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
9,Data Scientist,Easy Apply,"Come party with a million people a day in celebrating important events in their lives! Evite, the world’s leading digital platform, is looking for passionate and creative Data Scientist to join our team in Los Angeles. We are looking for people who will contribute to our mission of bringing people together to celebrate their most important life moments.
Evite’s Analytics & Data Infrastructure team is seeking a Data Scientist to help support the all aspects of our business, with a focus on supporting two key areas: Web/Mobile Products and Online Marketing.
Core Capabilities
Proven track record applying Data Science methodologies to drive improvements to online services and product offerings
Proven track record of turning raw data into meaningful intelligence, presenting to business stakeholders, and driving value for the business. Ability to see the business challenge behind analytics challenges",3.6,"Evite, Inc.
3.6",California,51 to 200 Employees,1998,Subsidiary or Business Segment,Internet & Web Services,Information Technology,Unknown / Non-Applicable
